 ,Samuel,Anton,Herman,David,Petter,Swold,Hannes
1,Verstappen,Verstappen,Verstappen,Norris,Verstappen,Verstappen,Verstappen
2,Perez,Norris,Leclerc,Verstappen,Leclerc,Perez,Norris
3,Leclerc,Hamilton,Sainz,Leclerc,Perez,Leclerc,Hamilton
4,Hamilton,Piastri,Norris,Russell,Norris,Hamilton,Perez
5,Norris,Leclerc,Piastri,Piastri,Hamilton,Russell,Leclerc
6,Alonso,Russell,Perez,Sainz,Russell,Sainz,Piastri
7,Sainz,Perez,Russell,Hamilton,Piastri,Norris,Sainz
8,Russell,Sainz,Hamilton,Perez,Sainz,Piastri,Alonso
9,Piastri,Alonso,Alonso,Ocon,Alonso,Alonso,Russell
10,Ocon,Stroll,Gasly,Alonso,Ocon,Gasly,Gasly
11,Stroll,Gasly,Stroll,Gasly,Gasly,Ocon,Ricciardo
12,Gasly,Ocon,Ocon,Albon,Stroll,Ricciardo,Ocon
13,Ricciardo,Ricciardo,Albon,Bottas,Bottas,Stroll,Albon
14,Albon,Albon,Bottas,Stroll,Ricciardo,Tsunoda,Stroll
15,Tsunoda,Tsunoda,Guanyu,Guanyu,Tsunoda,Bottas,Tsunoda
16,Hulkenberg,Bottas,Sargeant,Tsunoda,Guanyu,Albon,Guanyu
17,Magnussen,Magnussen,Ricciardo,Ricciardo,Magnussen,Guanyu,Hulkenberg
18,Bottas,Hulkenberg,Tsunoda,Hulkenberg,Albon,Magnussen,Bottas
19,Sargeant,Guanyu,Hulkenberg,Magnussen,Sargeant,Hulkenberg,Sargeant
20,Guanyu,Sargeant,Magnussen,Sargeant,Hulkenberg,Sargeant,Magnussen
,,,,,,,
POÄNG,56,44,56,50,58,54,56
